Risk,File,Line,Pattern,Text,Context,Reason,Auto-Fixable
GREEN,templates/business_auth/reset_password.html,17,Paragraphs,Choose a strong password for your account,"<p class=""business-login-subtitle"">Choose a strong password for your account</p>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/reset_password.html,27,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/reset_password.html,36,ARIA labels,Password reset form,"aria-label=""Password reset form""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/reset_password.html,38,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/reset_password.html,45,Placeholder attributes,New Password,"placeholder=""New Password""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/reset_password.html,51,ARIA labels,New password,"aria-label=""New password""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/reset_password.html,62,Placeholder attributes,Confirm New Password,"placeholder=""Confirm New Password""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/reset_password.html,67,ARIA labels,Confirm new password,"aria-label=""Confirm new password""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/reset_password.html,78,ARIA labels,Reset password,"aria-label=""Reset password""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/reset_password.html,84,ARIA labels,Return to login page,"aria-label=""Return to login page""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/survey_config.html,28,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,48,Value attributes (buttons/inputs),{{ industry }},"value=""{{ industry }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,65,Value attributes (buttons/inputs),{{ tone }},"value=""{{ tone }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/survey_config.html,84,Placeholder attributes,Briefly describe what your company does and your mission...,"placeholder=""Briefly describe what your company does and your mission...""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/survey_config.html,86,Divs with text,{{ (business_account.company_description or '')|length }}/500 characters,"<div class=""survey-config-character-counter"" id=""company_description_counter"">                      ",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/survey_config.html,103,Placeholder attributes,Describe your main products or services in detail...,"placeholder=""Describe your main products or services in detail...""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/survey_config.html,105,Divs with text,{{ (business_account.product_description or '')|length }}/500 characters,"<div class=""survey-config-character-counter"" id=""product_description_counter"">                      ",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/survey_config.html,122,Placeholder attributes,"Describe your typical customers (e.g., small business owners, CFOs, healthcare providers...)","placeholder=""Describe your typical customers (e.g., small business owners, CFOs, healthcare provider",Safe display text - auto-wrappable,YES
RED,templates/business_auth/survey_config.html,124,Divs with text,{{ (business_account.target_clients_description or '')|length }}/300 characters,"<div class=""survey-config-character-counter"" id=""target_clients_description_counter"">               ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/survey_config.html,146,Value attributes (buttons/inputs),NPS,"value=""NPS""",Form value - verify not used by backend logic,NO
GREEN,templates/business_auth/survey_config.html,148,Labels,Net Promoter Score,"<label class=""survey-config-form-check-label"" for=""goal_nps"">Net Promoter Score</label>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/survey_config.html,151,Value attributes (buttons/inputs),Satisfaction,"value=""Satisfaction""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/survey_config.html,156,Value attributes (buttons/inputs),Product Feedback,"value=""Product Feedback""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/survey_config.html,161,Value attributes (buttons/inputs),Support Quality,"value=""Support Quality""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/survey_config.html,166,Value attributes (buttons/inputs),Pricing Perception,"value=""Pricing Perception""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/survey_config.html,171,Value attributes (buttons/inputs),Custom,"value=""Custom""",Form value - verify not used by backend logic,NO
RED,templates/business_auth/survey_config.html,201,Value attributes (buttons/inputs),{{ business_account.max_questions or 8 }},"value=""{{ business_account.max_questions or 8 }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,226,Value attributes (buttons/inputs),{{ business_account.max_duration_seconds or 120 }},"value=""{{ business_account.max_duration_seconds or 120 }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/survey_config.html,230,Spans,1min,<span>1min</span>,Span element - check for JavaScript dependencies,NO
YELLOW,templates/business_auth/survey_config.html,231,Spans,5min,<span>5min</span>,Span element - check for JavaScript dependencies,NO
RED,templates/business_auth/survey_config.html,250,Value attributes (buttons/inputs),{{ business_account.max_follow_ups_per_topic or 2 }},"value=""{{ business_account.max_follow_ups_per_topic or 2 }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,283,Value attributes (buttons/inputs),{{ topic }},"value=""{{ topic }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,304,Value attributes (buttons/inputs),{{ topic }},"value=""{{ topic }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/survey_config.html,333,Placeholder attributes,Thank you for your valuable feedback! We truly appreciate the time you've taken to help us improve..,"placeholder=""Thank you for your valuable feedback! We truly appreciate the time you've taken to help",Safe display text - auto-wrappable,YES
RED,templates/business_auth/survey_config.html,335,Divs with text,{{ (business_account.custom_end_message or '')|length }}/1000 characters,"<div class=""survey-config-character-counter"" id=""custom_end_message_counter"">                       ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/survey_config.html,350,Divs with text,{{ business_account.custom_end_message }},"<div class=""survey-config-preview-content"">                     {{ business_account.custom_end_messa",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaign_insights.html,146,Spans,"Jan 1 - Dec 31, 2024","<span class=""ms-2 text-muted"" id=""activeCampaignDates"">Jan 1 - Dec 31, 2024</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaign_insights.html,256,Value attributes (buttons/inputs),risk_heavy,"value=""risk_heavy""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,257,Value attributes (buttons/inputs),balanced,"value=""balanced""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,258,Value attributes (buttons/inputs),opportunity_heavy,"value=""opportunity_heavy""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,265,Value attributes (buttons/inputs),critical,"value=""critical""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,266,Value attributes (buttons/inputs),high,"value=""high""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,267,Value attributes (buttons/inputs),medium,"value=""medium""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,268,Value attributes (buttons/inputs),low,"value=""low""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,275,Value attributes (buttons/inputs),yes,"value=""yes""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,283,Value attributes (buttons/inputs),yes,"value=""yes""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,410,Value attributes (buttons/inputs),promoters,"value=""promoters""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,411,Value attributes (buttons/inputs),passives,"value=""passives""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,412,Value attributes (buttons/inputs),detractors,"value=""detractors""",Form value - verify not used by backend logic,NO
RED,templates/campaign_insights.html,454,Spans,"20 %}bg-success{% elif company.company_nps >= -20 %}bg-secondary{% else %}bg-danger{% endif %}"">
   ","<span class=""badge {% if company.company_nps > 20 %}bg-success{% elif company.company_nps >= -20 %}b",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaign_insights.html,460,Spans,{{ company.risk_level }},"<span class=""badge {% if company.risk_level == 'Low' %}bg-success{% elif company.risk_level == 'Medi",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaign_insights.html,520,Table headers (th),Distribution,<th>Distribution</th>,Safe display text - auto-wrappable,YES
YELLOW,templates/campaign_insights.html,582,Value attributes (buttons/inputs),promoters,"value=""promoters""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,583,Value attributes (buttons/inputs),passives,"value=""passives""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,584,Value attributes (buttons/inputs),detractors,"value=""detractors""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,765,Value attributes (buttons/inputs),created_at_desc,"value=""created_at_desc""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,766,Value attributes (buttons/inputs),created_at_asc,"value=""created_at_asc""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,767,Value attributes (buttons/inputs),nps_score_desc,"value=""nps_score_desc""",Form value - verify not used by backend logic,NO
YELLOW,templates/campaign_insights.html,768,Value attributes (buttons/inputs),nps_score_asc,"value=""nps_score_asc""",Form value - verify not used by backend logic,NO
GREEN,templates/campaign_insights.html,788,Table headers (th),NPS,"<th style=""width: 10%; text-align: center;"">NPS</th>",Safe display text - auto-wrappable,YES
YELLOW,templates/campaign_insights.html,1092,Spans,Role,"<span class=""badge bg-primary"">Role</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaign_insights.html,1109,Spans,Region,"<span class=""badge bg-info"">Region</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaign_insights.html,1126,Spans,Tier,"<span class=""badge bg-warning text-dark"">Tier</span>",Span element - check for JavaScript dependencies,NO
RED,templates/campaigns/create.html,73,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/create.html,84,Placeholder attributes,"e.g., Q2 2025 Product Satisfaction Survey","placeholder=""e.g., Q2 2025 Product Satisfaction Survey""",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/create.html,90,Labels,Description,"<label for=""description"" class=""form-label"">Description</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/create.html,92,Placeholder attributes,"Optional description of campaign goals, focus areas, or target audience","placeholder=""Optional description of campaign goals, focus areas, or target audience""",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/create.html,144,Divs with text,"When enabled, participant names and company names will be anonymized using secure hashing. 
        ","<div class=""form-text"">                         When enabled, participant names and company names wi",Div content - verify not used dynamically,NO
YELLOW,templates/campaigns/create.html,171,Divs with text,"When enabled, customize the email sent to participants. Leave unchecked to use your account's defaul","<div class=""form-text"" style=""margin-left: 2.5rem; margin-top: 0.5rem;"">                         Whe",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/create.html,180,Placeholder attributes,Your feedback is requested: {campaign_name},"placeholder=""Your feedback is requested: {campaign_name}""",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/create.html,181,Divs with text,"Available variables: {participant_name}, {campaign_name}, {business_account_name}","<div class=""form-text"">Available variables: {participant_name}, {campaign_name}, {business_account_n",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/create.html,188,Placeholder attributes,{business_account_name} is requesting your valuable feedback through our Voice of Client system.,"placeholder=""{business_account_name} is requesting your valuable feedback through our Voice of Clien",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/create.html,189,Divs with text,"Opens the email body. Available variables: {participant_name}, {campaign_name}, {business_account_na","<div class=""form-text"">Opens the email body. Available variables: {participant_name}, {campaign_name",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/create.html,195,Placeholder attributes,Complete Your Survey,"placeholder=""Complete Your Survey""",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/create.html,203,Placeholder attributes,Your feedback helps improve services and experiences. The survey should take just a few minutes to c,"placeholder=""Your feedback helps improve services and experiences. The survey should take just a few",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/create.html,206,Divs with text,"Message before sign-off. Available variables: {participant_name}, {campaign_name}, {business_account","<div class=""form-text"">Message before sign-off. Available variables: {participant_name}, {campaign_n",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/create.html,213,Placeholder attributes,"This is an automated message. If you have any questions, please contact the organization that sent t","placeholder=""This is an automated message. If you have any questions, please contact the organizatio",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/create.html,237,Divs with text,Automatically send a follow-up email to participants who haven't completed the survey,"<div class=""form-text"" style=""margin-left: 2.5rem; margin-top: 0.5rem;"">                         Aut",Div content - verify not used dynamically,NO
RED,templates/campaigns/edit.html,88,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/edit.html,99,Value attributes (buttons/inputs),{{ campaign.name }},"value=""{{ campaign.name }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/edit.html,100,Placeholder attributes,"e.g., Q2 2025 Product Satisfaction Survey","placeholder=""e.g., Q2 2025 Product Satisfaction Survey""",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/edit.html,106,Labels,Description,"<label for=""description"" class=""form-label"">Description</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/edit.html,108,Placeholder attributes,"Optional description of campaign goals, focus areas, or target audience","placeholder=""Optional description of campaign goals, focus areas, or target audience""",Safe display text - auto-wrappable,YES
RED,templates/campaigns/edit.html,124,Value attributes (buttons/inputs),{{ campaign.start_date }},"value=""{{ campaign.start_date }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/edit.html,132,Value attributes (buttons/inputs),{{ campaign.end_date }},"value=""{{ campaign.end_date }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/edit.html,159,Divs with text,Automatically send a follow-up email to participants who haven't completed the survey,"<div class=""form-text"" style=""margin-left: 2.5rem; margin-top: 0.5rem;"">                         Aut",Div content - verify not used dynamically,NO
YELLOW,templates/campaigns/individual_response.html,324,Spans,Company:,"<span class=""data-label"">Company:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,339,Spans,NPS Score:,"<span class=""data-label"">NPS Score:</span>",Span element - check for JavaScript dependencies,NO
RED,templates/campaigns/individual_response.html,340,Spans,{{ response.nps_score if response.nps_score is not none else 'N/A' }},"<span class=""nps-score nps-{{ response.nps_category.lower() if response.nps_category else 'unknown' ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/individual_response.html,352,Spans,Product Value:,"<span class=""data-label"">Product Value:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,358,Spans,Service Quality:,"<span class=""data-label"">Service Quality:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,364,Spans,Pricing:,"<span class=""data-label"">Pricing:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,377,Spans,Sentiment:,"<span class=""data-label"">Sentiment:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,394,Spans,Churn Risk:,"<span class=""data-label"">Churn Risk:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,403,Spans,Key Themes:,"<span class=""data-label d-block mb-2"">Key Themes:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,419,Spans,Submitted:,"<span class=""data-label"">Submitted:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,424,Spans,(updated),"<span style=""color: #666; font-size: 0.9em;"">(updated)</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,435,Spans,Campaign:,"<span class=""data-label"">Campaign:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,440,Spans,Commercial Value:,"<span class=""data-label"">Commercial Value:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,454,Spans,Improvement Feedback:,"<span class=""data-label d-block"">Improvement Feedback:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,460,Spans,Recommendation Reason:,"<span class=""data-label d-block"">Recommendation Reason:</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/campaigns/individual_response.html,466,Spans,Additional Comments:,"<span class=""data-label d-block"">Additional Comments:</span>",Span element - check for JavaScript dependencies,NO
RED,templates/campaigns/individual_response.html,484,Divs with text,"{% if message.role == 'ai' or message.role == 'assistant' or message.sender == 'ai' %}
             ","<div class=""message-avatar avatar-{{ 'ai' if message.role == 'ai' or message.role == 'assistant' or ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/individual_response.html,498,Divs with text,"{% if message.timestamp %}
                                    {% if message.timestamp == 'now' %}
 ","<div class=""message-timestamp"">                                 {% if message.timestamp %}          ",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/individual_response.html,514,Headings (h1-h6),No Conversation History,"<h5 class=""text-muted"">No Conversation History</h5>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/individual_response.html,515,Paragraphs,This response doesn't contain conversational transcript data.,"<p class=""text-muted"">This response doesn't contain conversational transcript data.</p>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/list.html,85,Spans,{{ campaign.status|title }},"<span class=""campaign-status status-{{ campaign.status }}"">                     {{ campaign.status|t",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/list.html,106,Divs with text,Participants,"<div class=""small text-muted"">Participants</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/list.html,171,Table headers (th),Fin Date,"<th class=""hide-on-tablet"">Fin Date</th>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/list.html,172,Table headers (th),Participants,"<th class=""text-center"">Participants</th>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/list.html,174,Table headers (th),Actions,"<th class=""text-center"">Actions</th>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/list.html,189,Spans,{{ campaign.status|title }},"<span class=""campaign-status status-{{ campaign.status }}"">                                 {{ campa",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/list.html,222,Divs with text,{{ campaign_card(campaign) }},"<div data-status=""{{ campaign.status }}"">                 {{ campaign_card(campaign) }}             ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/responses_list.html,137,Value attributes (buttons/inputs),{{ search_query or '' }},"value=""{{ search_query or '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/responses_list.html,176,Table headers (th),Participant,<th>Participant</th>,Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/responses_list.html,181,Table headers (th),Actions,"<th class=""text-end"">Actions</th>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/responses_list.html,196,Spans,{{ response.nps_score if response.nps_score is not none else 'N/A' }},"<span class=""nps-score nps-{{ response.nps_category.lower() if response.nps_category else 'unknown' ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/responses_list.html,201,Spans,{{ response.completion_status or 'Unknown' }},"<span class=""status-badge status-{{ response.completion_status or 'unknown' }}"">                    ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/responses_list.html,233,Paragraphs,"{% if search_query %}
                    No responses match your search criteria. Try adjusting you","<p class=""text-muted"">                 {% if search_query %}                     No responses match ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/responses_list.html,270,Links (a tags),{{ page_num }},"<a class=""page-link"" href=""{{ url_for('campaigns.campaign_responses', campaign_id=campaign.id, page=",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/survey_config.html,179,Headings (h1-h6),Survey Configuration,"<h1 class=""mb-1"">Survey Configuration</h1>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,180,Paragraphs,"Customize survey behavior for ""{{ campaign.name }}""","<p class=""mb-0 opacity-75"">Customize survey behavior for ""{{ campaign.name }}""</p>",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/survey_config.html,207,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/survey_config.html,215,Paragraphs,Define what your campaign surveys are about. This helps the AI ask more relevant questions and bette,"<p class=""section-description"">                     Define what your campaign surveys are about. Thi",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,220,Labels,Product/Service Description,"<label for=""product_description"" class=""form-label"">Product/Service Description</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,222,Placeholder attributes,"Describe your main products or services (e.g., 'Cloud-based accounting software for small businesses","placeholder=""Describe your main products or services (e.g., 'Cloud-based accounting software for sma",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/survey_config.html,224,Divs with text,Help the AI understand what you offer to ask better questions,"<div class=""form-text"">Help the AI understand what you offer to ask better questions</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,228,Labels,Target Clients,"<label for=""target_clients_description"" class=""form-label"">Target Clients</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,230,Placeholder attributes,"Describe your ideal customers (e.g., 'Small business owners, CFOs, accounting firms')","placeholder=""Describe your ideal customers (e.g., 'Small business owners, CFOs, accounting firms')""",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/survey_config.html,232,Divs with text,Who are you primarily serving? This helps tailor conversation tone and questions,"<div class=""form-text"">Who are you primarily serving? This helps tailor conversation tone and questi",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,241,Paragraphs,Select the key objectives for this campaign. The AI will prioritize these areas during conversations,"<p class=""section-description"">                     Select the key objectives for this campaign. The",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,248,Value attributes (buttons/inputs),{{ goal }},"value=""{{ goal }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,256,Divs with text,NPS is recommended for all campaigns to track customer loyalty,"<div class=""form-text mt-2"">NPS is recommended for all campaigns to track customer loyalty</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,264,Paragraphs,Set limits to keep conversations focused and manageable for your participants.,"<p class=""section-description"">                     Set limits to keep conversations focused and man",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,271,Labels,Max Questions,"<label for=""max_questions"" class=""form-label"">Max Questions</label>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,274,Value attributes (buttons/inputs),{{ campaign.max_questions or 8 }},"value=""{{ campaign.max_questions or 8 }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,278,Divs with text,Hard limit on conversation length,"<div class=""form-text"">Hard limit on conversation length</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,283,Labels,Max Duration (seconds),"<label for=""max_duration_seconds"" class=""form-label"">Max Duration (seconds)</label>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,286,Value attributes (buttons/inputs),{{ campaign.max_duration_seconds or 120 }},"value=""{{ campaign.max_duration_seconds or 120 }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,290,Divs with text,Time limit for entire conversation,"<div class=""form-text"">Time limit for entire conversation</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,295,Labels,Max Follow-ups per Topic,"<label for=""max_follow_ups_per_topic"" class=""form-label"">Max Follow-ups per Topic</label>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,298,Value attributes (buttons/inputs),{{ campaign.max_follow_ups_per_topic or 2 }},"value=""{{ campaign.max_follow_ups_per_topic or 2 }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,302,Divs with text,Control topic depth exploration,"<div class=""form-text"">Control topic depth exploration</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,313,Paragraphs,Choose which topics to cover first and which ones can be skipped if time runs out.,"<p class=""section-description"">                     Choose which topics to cover first and which one",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,320,Labels,Prioritized Topics (cover first),"<label class=""form-label"">Prioritized Topics (cover first)</label>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,324,Value attributes (buttons/inputs),{{ topic }},"value=""{{ topic }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,332,Divs with text,These topics will be covered first and are most important,"<div class=""form-text"">These topics will be covered first and are most important</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,337,Labels,Optional Topics (can be skipped),"<label class=""form-label"">Optional Topics (can be skipped)</label>",Safe display text - auto-wrappable,YES
RED,templates/campaigns/survey_config.html,341,Value attributes (buttons/inputs),{{ topic }},"value=""{{ topic }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/campaigns/survey_config.html,348,Divs with text,These topics will be skipped if time/questions run out,"<div class=""form-text"">These topics will be skipped if time/questions run out</div>",Div content - verify not used dynamically,NO
GREEN,templates/campaigns/survey_config.html,357,Labels,Custom End Message,"<label for=""custom_end_message"" class=""form-label"">Custom End Message</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,359,Placeholder attributes,Optional custom thank you message for survey completion,"placeholder=""Optional custom thank you message for survey completion""",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/survey_config.html,361,Divs with text,Personalized message shown when participants complete the survey,"<div class=""form-text"">Personalized message shown when participants complete the survey</div>",Div content - verify not used dynamically,NO
RED,templates/campaigns/survey_config.html,363,Divs with text,"""{{ campaign.custom_end_message }}""","<div class=""preview-container"" id=""end_message_preview"">                         ""{{ campaign.custom",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/campaigns/survey_config.html,383,Labels,Custom System Prompt,"<label for=""custom_system_prompt"" class=""form-label"">Custom System Prompt</label>",Safe display text - auto-wrappable,YES
GREEN,templates/campaigns/survey_config.html,385,Placeholder attributes,Optional: Override the default AI system prompt with custom instructions,"placeholder=""Optional: Override the default AI system prompt with custom instructions""",Safe display text - auto-wrappable,YES
YELLOW,templates/campaigns/survey_config.html,387,Divs with text,Advanced: Custom instructions for the AI conversation engine. Leave blank to use intelligent default,"<div class=""form-text"">                             Advanced: Custom instructions for the AI convers",Div content - verify not used dynamically,NO
YELLOW,templates/campaigns/view.html,46,Divs with text,Start Date,"<div class=""info-label"">Start Date</div>",Div content - verify not used dynamically,NO
YELLOW,templates/campaigns/view.html,50,Divs with text,End Date,"<div class=""info-label"">End Date</div>",Div content - verify not used dynamically,NO
RED,templates/campaigns/view.html,64,Divs with text,"{% if campaign.days_remaining is not none and campaign.days_remaining >= 0 %}
                    {{","<div class=""info-value"">                 {% if campaign.days_remaining is not none and campaign.days",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/view.html,122,Divs with text,"{% if campaign.engagement_metrics.participation_rate is not none %}
                    {{ campaign.","<div class=""info-value"">                 {% if campaign.engagement_metrics.participation_rate is not",Contains Jinja syntax - false positive from scanner,NO
RED,templates/campaigns/view.html,139,Divs with text,"{% if campaign.engagement_metrics.email_success_rate is not none %}
                    {{ campaign.","<div class=""info-value"">                 {% if campaign.engagement_metrics.email_success_rate is not",Contains Jinja syntax - false positive from scanner,NO
